mission,year,country,location,latitude,longitude,Infantry,NoTroops,Reserve,hq,UNPOL,Med,Av,UNMO,ave.no.troops
BINUB,2007,Burundi,Bujumbura,-3.3822,29.3644,0,0,0,3,0,0,0,0,0
BINUB,2009,Burundi,Bujumbura,-3.3822,29.3644,0,0,0,3,0,0,0,0,0
MINUCI,2003,Ivory Coast,Abidjan,5.309657,-4.012656,0,0,0,3,0,0,0,0,0
MINUCI,2004,Ivory Coast,Abidjan,5.309657,-4.012656,0,0,0,3,0,0,0,0,0
UNOCI,2005,Ivory Coast,Abidjan,5.309657,-4.012656,1030,1250,0,3,0,0,0,1,1237
UNOCI,2005,Ivory Coast,Abidjan,5.309657,-4.012656,1030,1300,0,3,0,0,0,1,1237
UNOCI,2006,Ivory Coast,Abidjan,5.309657,-4.012656,1106,1300,0,3,1,0,0,1,1375
MINURCA,2000,Central African Republic,Bangui,4.383333,18.566667,0,0,0,3,0,0,0,0,0
MINURCAT,2008,Central African Republic,Birao,10.284879,22.788184,650,650,0,0,0,0,0,0,650
MINURCAT,2008,Chad,Abeche,13.816667,20.816667,800,3685,0,2,0,1,0,0,3685
MINURCAT,2008,Chad,Bahai,15.55,22.91,150,150,0,0,0,0,0,0,150
MINURCAT,2008,Chad,Farchana,13.59744,21.81167,650,650,0,0,0,0,0,0,650
MINURCAT,2008,Chad,Goz Beida,12.216667,21.4166667,650,650,0,0,0,0,0,0,650
MINURCAT,2008,Chad,Guereda,14.516667,22.083333,150,150,0,0,0,0,0,0,150
MINURCAT,2008,Chad,Iriba,15.116667,22.25,650,650,0,0,0,0,0,0,650
MINURCAT,2008,Chad,Koukou Angaraha,12.016667,21.683333,150,150,0,0,0,0,0,0,150
MINURCAT,2008,Chad,N'Djamena,12.108502,15.048173,0,300,0,2,0,0,0,0,300
MINURCAT,2009,Central African Republic,Birao,10.284879,22.788184,316,650,0,0,0,0,0,0,316
MINURCAT,2009,Chad,Abeche,13.816667,20.816667,216,2100,0,2,0,1,1,0,1761
MINURCAT,2009,Chad,Farchana,13.59744,21.81167,650,650,0,0,0,0,0,0,650
MINURCAT,2009,Chad,Goz Beida,12.216667,21.4166667,650,650,0,0,0,0,0,0,650
MINURCAT,2009,Chad,Iriba,15.116667,22.25,650,650,0,0,0,0,0,0,650
MINURCAT,2009,Chad,N'Djamena,12.108502,15.048173,0,0,0,2,0,0,0,0,0
MINURCAT,2009,Central African Republic,Birao,10.284879,22.788184,316,150,0,0,0,0,0,0,316
MINURCAT,2009,Chad,Abeche,13.816667,20.816667,216,1250,0,2,0,1,1,0,1761
MINURCAT,2009,Chad,Abeche,13.816667,20.816667,216,1935,0,2,0,1,1,0,1761
MINURCAT,2010,Central African Republic,Birao,10.284879,22.788184,150,150,0,0,0,0,0,0,150
MINURCAT,2010,Chad,Abeche,13.816667,20.816667,400,950,0,2,0,1,1,0,558
MINURCAT,2010,Chad,Bahai,15.55,22.91,150,150,0,0,0,0,0,0,150
MINURCAT,2010,Chad,Farchana,13.59744,21.81167,650,650,0,0,0,0,1,0,658
MINURCAT,2010,Chad,Goz Beida,12.216667,21.4166667,650,650,0,0,0,0,0,0,650
MINURCAT,2010,Chad,Guereda,14.516667,22.083333,150,150,0,0,0,0,0,0,150
MINURCAT,2010,Chad,Iriba,15.116667,22.25,400,650,0,0,0,0,1,0,408
MINURCAT,2010,Chad,Koukou Angaraha,12.016667,21.683333,150,150,0,0,0,0,0,0,150
MINURCAT,2010,Chad,N'Djamena,12.108502,15.048173,75,0,0,2,0,0,0,0,75
MINURCAT,2010,Chad,Abeche,13.816667,20.816667,400,185,0,2,0,1,1,0,558
MINURCAT,2010,Chad,Farchana,13.59744,21.81167,650,685,0,0,0,0,1,0,658
MINURCAT,2010,Chad,Iriba,15.116667,22.25,400,185,0,0,0,0,1,0,408
MINURCAT,2010,Chad,N'Djamena,12.108502,15.048173,75,150,0,2,0,0,0,0,75
MINURCAT,2010,Chad,Abeche,13.816667,20.816667,400,150,0,2,0,1,1,0,558
MINURCAT,2010,Chad,Iriba,15.116667,22.25,400,150,0,0,0,0,1,0,408
MINURSO,1995,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,1,1,0,0,3
MINURSO,1995,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,1,0,0,3
MINURSO,1995,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,1,1,0,0,150
MINURSO,1995,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,1,0,0,0,0
MINURSO,1995,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,1,0,0,3
MINURSO,1995,Western Sahara,Dougaj,22.055556,-13.552778,0,0,0,0,0,0,0,0,0
MINURSO,1995,Mauritania,Zouerate,22.731652,-12.474106,0,0,0,0,0,0,0,0,0
MINURSO,1995,Western Sahara,Boujdour,26.125615,-14.484377,0,0,0,0,1,0,0,0,0
MINURSO,1995,Mauritania,Nouadhibou,20.944165,-17.038513,0,0,0,0,1,0,0,0,0
MINURSO,1995,Algeria,Tindouf,27.67111,-8.14743,0,15,0,0,1,1,0,0,3
MINURSO,1995,Western Sahara,Awsard,22.551639,-14.331643,0,15,0,0,0,1,0,0,3
MINURSO,1995,Western Sahara,Laayoune,27.135,-13.1625,0,150,0,3,1,1,0,0,150
MINURSO,1995,Western Sahara,Smara,26.73841,-11.67194,0,15,0,2,0,1,0,0,3
MINURSO,1996,Algeria,Tindouf,27.67111,-8.14743,0,15,0,0,1,1,0,0,7
MINURSO,1996,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Smara,26.73841,-11.67194,0,15,0,2,1,1,0,0,7
MINURSO,1996,Western Sahara,Laayoune,27.135,-13.1625,0,150,0,3,1,1,0,0,150
MINURSO,1996,Western Sahara,Boujdour,26.125615,-14.484377,0,0,0,0,1,0,0,0,0
MINURSO,1996,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,1,0,0,0,0
MINURSO,1996,Western Sahara,Awsard,22.551639,-14.331643,0,15,0,0,0,1,0,0,7
MINURSO,1996,Western Sahara,Dougaj,22.055556,-13.552778,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,1996,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,1996,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,1,1,0,0,7
MINURSO,1996,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,1,0,0,7
MINURSO,1996,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,1,1,0,0,150
MINURSO,1996,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,1,1,0,0,7
MINURSO,1997,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,1,0,0,0,0
MINURSO,1997,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,1,1,0,0,NA
MINURSO,1997,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Mijek,23.4735871,-12.7597541,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Oum Dreyga,24.166667,-13.25,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Tifariti,26.092778,-10.608889,0,0,0,0,0,0,0,0,0
MINURSO,1997,Western Sahara,Ad Dakhla,23.660915,-15.953219,0,0,0,2,0,0,0,0,0
MINURSO,1997,Western Sahara,Smara,26.73841,-11.67194,0,0,0,2,0,1,0,0,0
MINURSO,1998,Algeria,Tindouf,27.67111,-8.14743,0,0,0,0,0,0,0,0,0
MINURSO,1998,Western Sahara,Agwanit,22.1934,-13.140930000000001,0,0,0,0,0,0,0,0,0
MINURSO,1998,Western Sahara,Awsard,22.551639,-14.331643,0,0,0,0,0,0,0,0,0
MINURSO,1998,Western Sahara,Bir Lahlou,26.3268627,-9.5494739,0,0,0,0,0,0,0,0,0
MINURSO,1998,Western Sahara,Laayoune,27.135,-13.1625,0,NA,0,3,0,1,0,0,NA
MINURSO,1998,Western Sahara,Mahbas,27.424267,-9.06598,0,0,0,0,0,0,0,0,0
MINURSO,1998,Western Sahara,Mehaires,26.1472,-11.0692,0,0,0,0,0,0,0,0,0
